商品,價格1,價格2,網址,圖片
日檢N2單字大全《搶分進考場》-二手書_良好-9247,170,170,https://shopee.tw//日檢N2單字大全《搶分進考場》-二手書_良好-9247-i.159834670.6652814065,https://cf.shopee.tw/file/3d10714f485e6b29f4e680057cabb931_tn
袖珍本-精修版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-二手書_良好-5581,190,190,https://shopee.tw//袖珍本-精修版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-二手書_良好-5581-i.159834670.4853553840,https://cf.shopee.tw/file/a9ed9c2a148e6a54ef2c6a3206b25e73_tn
日檢N2單字大全(搶分進考場),205,205,https://shopee.tw//日檢N2單字大全(搶分進考場)-i.20570968.2357606650,https://cf.shopee.tw/file/c940d04f9ef6c8feeb0b405880dd3567_tn
《世一》日檢N2單字大全(軟精)-85折-,221,221,https://shopee.tw//《世一》日檢N2單字大全(軟精)-85折--i.42458033.1586893874,https://cf.shopee.tw/file/cd00226a6e2a517359cfdbde73993a22_tn
日檢單字-文法一本搞定N2(-MP3)-75折-11100888530,224,224,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-75折-11100888530-i.159834670.7218429171,https://cf.shopee.tw/file/296d21431b37c004dd00367ff62874b1_tn
日檢單字-文法一本搞定N2(附1MP3),224,224,https://shopee.tw//日檢單字-文法一本搞定N2(附1MP3)-i.17676261.1522016594,https://cf.shopee.tw/file/c19ac580b46a6b2e63b41da9ca2696dc_tn
9789866567971﹝瑞蘭國際﹞新日檢N2單字帶著背！,236,236,https://shopee.tw//9789866567971﹝瑞蘭國際﹞新日檢N2單字帶著背！-i.59926168.1686477788,https://cf.shopee.tw/file/e99f8751666bcfcb65bac8fcf1a732cc_tn
日檢單字-文法一本搞定N2,240,240,https://shopee.tw//日檢單字-文法一本搞定N2-i.43157388.1438102108,https://cf.shopee.tw/file/09047156382aa9a8ec531a4eaf9fd250_tn
日檢單字-文法一本搞定N2-75折-11100842965,240,240,https://shopee.tw//日檢單字-文法一本搞定N2-75折-11100842965-i.159834670.7216572024,https://cf.shopee.tw/file/041d0627177f84b72df839a05340743b_tn
新制日檢!絕對合格N1-N2單字全真模考三回-詳解-新制日檢!絕對合格N3-N4-N5單字全真模考三回-詳解,244,467,https://shopee.tw//新制日檢!絕對合格N1-N2單字全真模考三回-詳解-新制日檢!絕對合格N3-N4-N5單字全真模考三回-詳解-i.163113630.3501425212,https://cf.shopee.tw/file/f7e1dbfb3e3a6845c0090b631cf346ee_tn
(山田社)新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）,265,265,https://shopee.tw//(山田社)新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）-i.163145167.3735768579,https://cf.shopee.tw/file/8a4c30a3cf254da5c40cbec9998fc352_tn
絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3),265,265,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.163113630.2608077041,https://cf.shopee.tw/file/2fe1a53cf59317662b4e263273c3e23b_tn
新日檢N2單字帶著背,269,269,https://shopee.tw//新日檢N2單字帶著背-i.20570968.2357732467,https://cf.shopee.tw/file/3380e08ce7f1b77f869cf1f5e02ff8ef_tn
《雅典文化》日檢單字＋文法一本搞定N2-9折-,269,269,https://shopee.tw//《雅典文化》日檢單字＋文法一本搞定N2-9折--i.42458033.3518254599,https://cf.shopee.tw/file/4a1c041b1050101e607b545eb8c34f59_tn
-書本熊-布可屋-合格快手！新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995,275,275,https://shopee.tw//-書本熊-布可屋-合格快手！新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995-i.25236816.3740675961,https://cf.shopee.tw/file/a32832f68845b4dc9cd5fe4898a055e8_tn
9789863184560【大師圖書寂天文化】用聽的背日檢Ｎ2單字3700（長20K-日中朗讀MP3）,276,276,https://shopee.tw//9789863184560【大師圖書寂天文化】用聽的背日檢Ｎ2單字3700（長20K-日中朗讀MP3）-i.59926168.1064482724,https://cf.shopee.tw/file/739ca22785edf54dc4806c85d0257c37_tn
-書本熊-精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373,277,277,https://shopee.tw//-書本熊-精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373-i.25236816.457247498,https://cf.shopee.tw/file/a6730e2029cd33c3218bd7ca6e038bbb_tn
新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）,279,279,https://shopee.tw//新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.133999892.2682624797,https://cf.shopee.tw/file/39d0bf01906dfe7f1ff7fbc4fc838aa7_tn
新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄（附單字隨身冊＋1CD＋虛擬點讀筆APP）,284,284,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄（附單字隨身冊＋1CD＋虛擬點讀筆APP）-i.121090005.2067300271,https://cf.shopee.tw/file/39c9258636eba42b3e96daf9a930bacc_tn
新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附1主考官一定會考的單字隨身冊＋1,284,284,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！（附1主考官一定會考的單字隨身冊＋1-i.163113630.2888195820,https://cf.shopee.tw/file/3066d614d0e39fc78fe6031c32ce6aca_tn
(山田社)新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）,287,287,https://shopee.tw//(山田社)新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.163145167.6435666474,https://cf.shopee.tw/file/25d7f13d7ddf935ced02ecb4074551cb_tn
《雅典文化》日檢單字＋文法一本搞定N2-9折- ,288,288,https://shopee.tw//《雅典文化》日檢單字＋文法一本搞定N2-9折--i.42458033.1142873495,https://cf.shopee.tw/file/a2b775328bcd849c639ee6e1248c61e0_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-8538,289,289,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-8538-i.159834670.5857968648,https://cf.shopee.tw/file/3d76bc8ebeaf30ad5343983883e9ec8a_tn
-建宏-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073,292,292,https://shopee.tw//-建宏-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.39144451.1591501241,https://cf.shopee.tw/file/be134efde0ecc6ed36c3ac7b0beafc93_tn
-書本熊-我識-新日檢JLPT-N2關鍵單字2-500：9789869737104,299,299,https://shopee.tw//-書本熊-我識-新日檢JLPT-N2關鍵單字2-500：9789869737104-i.25236816.4732023204,https://cf.shopee.tw/file/62d8fdbf0c96b4a4119fce0ab6ec64a4_tn
✨新日檢N2單字、文法、詞彙書,300,300,https://shopee.tw//✨新日檢N2單字、文法、詞彙書-i.3120326.31199388,https://cf.shopee.tw/file/2c5f179696c3354063801ad7b8101c9b_tn
新制對應絕對合格！日檢必背單字N2（25K＋2MP3）（精修版）-88折-11100784664,308,308,https://shopee.tw//新制對應絕對合格！日檢必背單字N2（25K＋2MP3）（精修版）-88折-11100784664-i.159834670.4816572848,https://cf.shopee.tw/file/b59799c8c0349b64d2ad4d7b64f68b89_tn
新制日檢絕對合格N1.N2.N3.N4.N5單字大全(25K-MP3)(20,315,315,https://shopee.tw//新制日檢絕對合格N1.N2.N3.N4.N5單字大全(25K-MP3)(20-i.20570968.2357728750,https://cf.shopee.tw/file/841a8c3f8daf5ca73c785a9ec30c6d21_tn
-書本熊二館-山田社-新制日檢-絕對合格-N2單字文法閱讀聽力全真模考三回（附MP3）：9789862465202,315,315,https://shopee.tw//-書本熊二館-山田社-新制日檢-絕對合格-N2單字文法閱讀聽力全真模考三回（附MP3）：9789862465202-i.155768384.3510644292,https://cf.shopee.tw/file/55eb7b29d25da5dbeece0db453e35780_tn
《寂天文化》用聽的背日檢Ｎ2單字3700-9折-,315,315,https://shopee.tw//《寂天文化》用聽的背日檢Ｎ2單字3700-9折--i.42458033.5018630992,https://cf.shopee.tw/file/c346e5a17fc1ca1f66902e07a19ec865_tn
-書本熊-新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）：9789862465202,315,315,https://shopee.tw//-書本熊-新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）：9789862465202-i.25236816.1734481831,https://cf.shopee.tw/file/4a3038aec0f6fd619a97415d470b51b0_tn
絕對合格！新制日檢必勝N2情境分類單字(25K-MP3)-88折-11100884070,325,325,https://shopee.tw//絕對合格！新制日檢必勝N2情境分類單字(25K-MP3)-88折-11100884070-i.159834670.4913753476,https://cf.shopee.tw/file/91b698a9a9845bcf9f54356b456e5b38_tn
《山田社》新制日檢！絕對合格N1-N2單字全真模考三回＋詳解-9折-,332,332,https://shopee.tw//《山田社》新制日檢！絕對合格N1-N2單字全真模考三回＋詳解-9折--i.42458033.6647803393,https://cf.shopee.tw/file/1644d3043c18f2b4855268cec1c7ca91_tn
新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3),336,336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.121090005.2085658432,https://cf.shopee.tw/file/0583eea715eea7397affc8c1bf3a3e21_tn
新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3) ,336,336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.163113630.3100490120,https://cf.shopee.tw/file/160945ad4644e27ec1d9f3ceba76acab_tn
新日檢考試有祕密(全方位N2單字-全真模擬試題),355,355,https://shopee.tw//新日檢考試有祕密(全方位N2單字-全真模擬試題)-i.20570968.2357512935,https://cf.shopee.tw/file/57b5524b73b2a04a33546b53be2eaf8b_tn
《山田社》精修版新制日檢！絕對合格N1、N2必背單字大全-9折-,378,378,https://shopee.tw//《山田社》精修版新制日檢！絕對合格N1、N2必背單字大全-9折--i.42458033.4948489615,https://cf.shopee.tw/file/d9c5f5cfe522e0bfd8950d6d67642fc5_tn
新日檢考試有祕密：全方位N2單字-全真模擬試題-88折-11100702064,395,395,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-88折-11100702064-i.159834670.5629728686,https://cf.shopee.tw/file/3e32f23751230b0cf799d5ec475385bf_tn
IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）-二手書_良好-8912,416,416,https://shopee.tw//IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）-二手書_良好-8912-i.159834670.6651975582,https://cf.shopee.tw/file/a0fbf9626d22de397f8b5a16cdc57d1f_tn
(山田社)精裝本-重音版-新日檢-絕對合格-N1-N2-N3-N4-N5單字大全（25K＋2MP3）,431,431,https://shopee.tw//(山田社)精裝本-重音版-新日檢-絕對合格-N1-N2-N3-N4-N5單字大全（25K＋2MP3）-i.163145167.6236306473,https://cf.shopee.tw/file/a5951c33ec9b480be28839462f78a883_tn
精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）,448,448,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.133999892.2682771904,https://cf.shopee.tw/file/8870ab44c42c3d00f040ddb13a52d58b_tn
(山田社)精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）,460,460,https://shopee.tw//(山田社)精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.163145167.6435668829,https://cf.shopee.tw/file/ae64685e81b274edb884d14d2f56ce64_tn
9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋,473,473,https://shopee.tw//9789862464663【大師圖書山田社-】精修版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋-i.59926168.2622475020,https://cf.shopee.tw/file/ac20cb939065c11a9f265c9f62246b5f_tn
精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K-MP3),473,473,https://shopee.tw//精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K-MP3)-i.20570968.2357577591,https://cf.shopee.tw/file/1a2059e1f5d6b24a68202ab4c068121d_tn
9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M,506,506,https://shopee.tw//9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M-i.59926168.1683593073,https://cf.shopee.tw/file/59ac05959ed07804acf95ca7d2343f70_tn
《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全-9折-,539,539,https://shopee.tw//《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全-9折--i.42458033.3348577843,https://cf.shopee.tw/file/c84628c825023da2239e0b54d13e16e3_tn
《山田社》精裝本重音版新日檢絕對合格N1-N2-N3-N4-N5單字大全(軟精)-9折-,539,539,https://shopee.tw//《山田社》精裝本重音版新日檢絕對合格N1-N2-N3-N4-N5單字大全(軟精)-9折--i.42458033.3248005235,https://cf.shopee.tw/file/1a4ca82dcf3fec5640835e11e3c7e366_tn
精修重音版新制日檢!絕對合格N1-N2-N3-N4-N5必背單字大全（25K）-88折-11100862088,563,563,https://shopee.tw//精修重音版新制日檢!絕對合格N1-N2-N3-N4-N5必背單字大全（25K）-88折-11100862088-i.159834670.6713771742,https://cf.shopee.tw/file/58486b5e7fec4b1f8fddf8dab2fdef70_tn
新日檢JLPT-N2-關鍵540題-關鍵單字2-500,583,583,https://shopee.tw//新日檢JLPT-N2-關鍵540題-關鍵單字2-500-i.121090005.2088075154,https://cf.shopee.tw/file/2f781f969bb808e53f6b714636b420bd_tn
(山田社)日檢必背文法及重音版單字大全套熱銷套書(25K＋2MP3）：新制日檢！絕對合格-N1-N2-N3-N4-N5,697,697,https://shopee.tw//(山田社)日檢必背文法及重音版單字大全套熱銷套書(25K＋2MP3）：新制日檢！絕對合格-N1-N2-N3-N4-N5-i.163145167.5036316007,https://cf.shopee.tw/file/eeb6f4cb61557fc032312846fd4ff9ed_tn
